AMI Meter ID,date,1,2,3,4,5,6,7,Total
3/21/2021 0:00,3/21/2021 0:30,0.324,15.228,16.212,47.43,51.6,16.35,21.624,168.768
3/21/2021 0:30,3/21/2021 1:00,0.324,14.736,15.228,39.198,46.68,16.35,17.688,150.204
3/21/2021 1:00,3/21/2021 1:30,0.16,15.228,14.244,40.976,44.22,14.3,18.18,147.308
3/21/2021 1:30,3/21/2021 2:00,0.324,14.736,14.244,42.165,44.22,16.35,16.704,148.743
3/21/2021 2:00,3/21/2021 2:30,0.324,15.228,16.212,50.782,46.68,18.4,18.18,165.806
3/21/2021 2:30,3/21/2021 3:00,0.16,16.212,15.228,49.897,44.22,16.35,20.64,162.707
3/21/2021 3:00,3/21/2021 3:30,0.324,16.212,15.228,50.603,44.22,14.3,19.656,160.543
3/21/2021 3:30,3/21/2021 4:00,0.16,15.72,14.736,28.176,44.22,14.3,19.164,136.476
3/21/2021 4:00,3/21/2021 4:30,0.324,15.72,16.212,29.16,44.22,16.35,18.672,140.658
3/21/2021 4:30,3/21/2021 5:00,0.324,16.212,15.228,30.144,44.22,12.25,21.624,140.002
3/21/2021 5:00,3/21/2021 5:30,0.16,16.212,17.196,26.208,44.22,18.4,20.148,142.544
3/21/2021 5:30,3/21/2021 6:00,0.324,16.212,18.18,51.945,44.22,18.4,19.164,168.445
3/21/2021 6:00,3/21/2021 6:30,17.036,16.212,15.72,41.193,41.76,18.4,19.656,169.977
3/21/2021 6:30,3/21/2021 7:00,84.54,16.212,16.704,51.455,46.68,18.4,20.148,254.139
3/21/2021 7:00,3/21/2021 7:30,84.704,16.212,15.72,51.581,41.76,18.4,24.576,252.953
3/21/2021 7:30,3/21/2021 8:00,84.54,11.796,16.704,28.176,34.38,16.35,18.672,210.618
3/21/2021 8:00,3/21/2021 8:30,84.704,11.796,12.768,27.52,34.38,18.4,20.148,209.716
3/21/2021 8:30,3/21/2021 9:00,84.54,12.288,12.288,26.864,31.92,18.4,21.132,207.432
3/21/2021 9:00,3/21/2021 9:30,84.704,12.288,9.828,26.208,31.92,16.35,15.72,197.018
3/21/2021 9:30,3/21/2021 10:00,84.704,10.32,12.288,25.552,31.92,16.35,17.196,198.33
3/21/2021 10:00,3/21/2021 10:30,84.704,10.812,12.768,24.677,31.92,14.3,20.64,199.821
3/21/2021 10:30,3/21/2021 11:00,84.868,9.828,15.72,23.803,31.92,14.3,16.704,197.143
3/21/2021 11:00,3/21/2021 11:30,84.868,9.828,13.26,22.928,31.92,14.3,16.212,193.316
3/21/2021 11:30,3/21/2021 12:00,84.868,9.828,11.304,21.616,31.92,16.35,17.688,193.574
3/21/2021 12:00,3/21/2021 12:30,84.704,10.32,11.796,22.272,29.46,10.2,15.228,183.98
3/21/2021 12:30,3/21/2021 13:00,84.704,9.336,10.812,38.908,31.92,10.2,16.704,202.584
3/21/2021 13:00,3/21/2021 13:30,84.868,8.844,10.32,38.529,56.52,22.5,14.244,235.825
3/21/2021 13:30,3/21/2021 14:00,84.868,9.336,10.32,36.691,44.22,20.45,15.72,221.605
3/21/2021 14:00,3/21/2021 14:30,84.868,9.828,12.288,59.047,46.68,24.55,15.72,252.981
3/21/2021 14:30,3/21/2021 15:00,14.416,9.336,9.828,20.96,44.22,22.5,14.736,135.996
3/21/2021 15:00,3/21/2021 15:30,0.16,10.812,10.32,21.288,41.76,22.5,13.752,120.592
3/21/2021 15:30,3/21/2021 16:00,0.16,9.828,9.336,21.616,39.3,22.5,14.244,116.984
3/21/2021 16:00,3/21/2021 16:30,77.66,9.336,9.336,22.272,34.38,22.5,12.768,188.252
3/21/2021 16:30,3/21/2021 17:00,84.868,9.828,10.32,22.928,29.46,22.5,14.736,194.64
3/21/2021 17:00,3/21/2021 17:30,84.704,9.828,11.304,33.029,29.46,22.5,14.244,205.069
3/21/2021 17:30,3/21/2021 18:00,61.276,9.828,10.812,43.382,31.92,22.5,13.752,193.47
3/21/2021 18:00,3/21/2021 18:30,0.324,9.336,10.812,35.811,29.46,20.45,11.796,117.989
3/21/2021 18:30,3/21/2021 19:00,0.16,9.336,10.32,35.752,31.92,12.25,14.244,113.982
3/21/2021 19:00,3/21/2021 19:30,72.088,9.336,10.32,26.208,29.46,10.2,12.288,169.9
3/21/2021 19:30,3/21/2021 20:00,84.704,9.828,11.796,22.272,31.92,8.15,14.244,182.914
3/21/2021 20:00,3/21/2021 20:30,84.704,13.752,12.768,22.272,39.3,12.25,13.752,198.798
3/21/2021 20:30,3/21/2021 21:00,84.704,15.228,12.288,22.928,41.76,10.2,11.796,198.904
3/21/2021 21:00,3/21/2021 21:30,52.264,15.228,13.752,22.928,41.76,12.25,16.704,174.886
3/21/2021 21:30,3/21/2021 22:00,0.324,14.736,12.768,39.571,39.3,12.25,14.736,133.685
3/21/2021 22:00,3/21/2021 22:30,0.16,15.228,13.26,38.164,41.76,10.2,13.26,132.032
3/21/2021 22:30,3/21/2021 23:00,0.324,15.228,15.228,47.614,41.76,12.25,14.244,146.648
3/21/2021 23:00,3/21/2021 23:30,0.324,14.736,14.244,39.59,44.22,12.25,13.26,138.624
3/21/2021 23:30,3/22/2021 0:00,0.16,14.736,14.244,40.372,39.3,12.25,14.244,135.306
3/22/2021 0:00,3/22/2021 0:30,0.324,14.736,15.228,57.315,41.76,14.3,16.704,160.367
3/22/2021 0:30,3/22/2021 1:00,0.324,14.736,14.736,57.546,41.76,12.25,14.736,156.088
3/22/2021 1:00,3/22/2021 1:30,0.16,15.228,14.736,23.584,44.22,16.35,14.736,129.014
3/22/2021 1:30,3/22/2021 2:00,0.324,15.72,15.72,24.24,39.3,14.3,12.768,122.372
3/22/2021 2:00,3/22/2021 2:30,0.324,14.736,14.736,23.803,44.22,14.3,18.18,130.299
3/22/2021 2:30,3/22/2021 3:00,0.16,15.72,14.244,23.365,41.76,16.35,15.72,127.319
3/22/2021 3:00,3/22/2021 3:30,0.324,15.72,13.752,22.928,41.76,14.3,19.164,127.948
3/22/2021 3:30,3/22/2021 4:00,0.16,15.72,13.26,23.147,41.76,16.35,14.736,125.133
3/22/2021 4:00,3/22/2021 4:30,0.324,15.228,21.132,23.365,44.22,14.3,18.18,136.749
3/22/2021 4:30,3/22/2021 5:00,0.324,16.212,31.452,23.584,41.76,14.3,14.736,142.368
3/22/2021 5:00,3/22/2021 5:30,0.16,17.196,75.192,24.896,44.22,30.7,19.656,212.02
3/22/2021 5:30,3/22/2021 6:00,0.324,54.552,76.176,58.576,41.76,28.65,13.26,273.298
3/22/2021 6:00,3/22/2021 6:30,48.496,119.436,67.824,57.631,46.68,30.7,18.672,389.439
3/22/2021 6:30,3/22/2021 7:00,84.704,91.908,61.44,57.826,61.44,71.65,16.704,445.672
3/22/2021 7:00,3/22/2021 7:30,84.704,78.636,57.504,58.632,135.12,102.4,19.164,536.16
3/22/2021 7:30,3/22/2021 8:00,84.868,69.3,54.06,59.998,108.12,92.15,17.688,486.184
3/22/2021 8:00,3/22/2021 8:30,84.868,64.872,50.124,64.311,88.44,92.15,21.624,466.389
3/22/2021 8:30,3/22/2021 9:00,85.032,58.488,50.616,60.297,88.44,77.8,16.704,437.377
3/22/2021 9:00,3/22/2021 9:30,84.704,40.788,53.076,69.496,103.2,77.8,21.132,450.196
3/22/2021 9:30,3/22/2021 10:00,84.868,34.89,49.632,74.743,103.2,71.65,14.736,433.719
3/22/2021 10:00,3/22/2021 10:30,84.704,28.992,44.232,68.587,81.06,59.35,17.196,384.121
3/22/2021 10:30,3/22/2021 11:00,84.868,27.516,40.788,72.378,81.06,47.1,16.212,369.922
3/22/2021 11:00,3/22/2021 11:30,84.868,23.1,38.328,72.009,78.6,38.9,19.164,354.969
3/22/2021 11:30,3/22/2021 12:00,85.196,21.624,34.404,64.486,73.68,38.9,14.244,332.534
3/22/2021 12:00,3/22/2021 12:30,85.852,21.624,32.928,72.168,76.14,34.8,15.228,338.74
3/22/2021 12:30,3/22/2021 13:00,85.688,19.656,28.992,66.962,71.22,36.85,17.196,326.564
3/22/2021 13:00,3/22/2021 13:30,85.688,19.164,28.008,71.555,73.68,36.85,16.212,331.157
3/22/2021 13:30,3/22/2021 14:00,85.852,18.18,27.024,18.992,76.14,28.65,12.768,267.606
3/22/2021 14:00,3/22/2021 14:30,85.852,19.164,24.084,19.32,71.22,32.75,12.288,264.678
3/22/2021 14:30,3/22/2021 15:00,85.852,18.18,24.576,19.648,68.76,32.75,11.796,261.562
3/22/2021 15:00,3/22/2021 15:30,85.688,18.18,23.592,62.1,68.76,20.45,11.796,290.566
3/22/2021 15:30,3/22/2021 16:00,21.46,17.196,22.608,61.587,63.84,14.3,11.304,212.295
3/22/2021 16:00,3/22/2021 16:30,0.324,15.228,17.688,62.75,39.3,16.35,11.796,163.436
3/22/2021 16:30,3/22/2021 17:00,0.16,17.196,14.244,59.925,44.22,14.3,13.26,163.305
3/22/2021 17:00,3/22/2021 17:30,0.324,17.196,13.752,56.855,39.3,14.3,10.32,152.047
3/22/2021 17:30,3/22/2021 18:00,42.924,15.72,10.32,56.942,31.92,14.3,12.768,184.894
3/22/2021 18:00,3/22/2021 18:30,85.852,10.812,9.336,50.743,31.92,12.25,11.796,212.709
3/22/2021 18:30,3/22/2021 19:00,85.688,9.336,9.828,48.342,31.92,10.2,11.304,206.618
3/22/2021 19:00,3/22/2021 19:30,85.852,9.336,8.844,48.01,31.92,10.2,10.812,204.974
3/22/2021 19:30,3/22/2021 20:00,85.524,9.336,9.828,51.594,31.92,10.2,14.736,213.138
3/22/2021 20:00,3/22/2021 20:30,85.688,13.752,11.304,48.954,41.76,10.2,11.796,223.454
3/22/2021 20:30,3/22/2021 21:00,85.524,14.736,11.304,48.922,41.76,10.2,12.768,225.214
3/22/2021 21:00,3/22/2021 21:30,41.448,15.72,12.288,50.915,41.76,12.25,13.752,188.133
3/22/2021 21:30,3/22/2021 22:00,0.16,14.736,11.796,53.058,39.3,10.2,13.26,142.51
3/22/2021 22:00,3/22/2021 22:30,0.324,15.228,12.288,50.252,46.68,12.25,12.768,149.79
3/22/2021 22:30,3/22/2021 23:00,0.324,15.228,11.796,59.875,46.68,12.25,11.796,157.949
3/22/2021 23:00,3/22/2021 23:30,0.16,14.736,11.796,54.756,46.68,10.2,14.244,152.572
3/22/2021 23:30,3/23/2021 0:00,0.324,15.228,11.796,55.549,39.3,12.25,12.288,146.735
3/23/2021 0:00,3/23/2021 0:30,0.16,14.736,12.768,50.11,44.22,10.2,12.288,144.482
3/23/2021 0:30,3/23/2021 1:00,0.324,14.736,13.26,53.164,39.3,12.25,12.288,145.322
3/23/2021 1:00,3/23/2021 1:30,0.324,14.244,11.304,53.332,44.22,10.2,13.26,146.884
3/23/2021 1:30,3/23/2021 2:00,0.16,15.228,12.768,50.497,41.76,12.25,13.26,145.923
3/23/2021 2:00,3/23/2021 2:30,0.324,15.228,13.26,54.992,41.76,10.2,11.796,147.56
3/23/2021 2:30,3/23/2021 3:00,0.324,15.72,12.768,54.215,44.22,12.25,15.228,154.725
3/23/2021 3:00,3/23/2021 3:30,0.16,16.212,11.796,54.544,41.76,12.25,12.768,149.49
3/23/2021 3:30,3/23/2021 4:00,0.324,14.736,12.768,56.918,41.76,10.2,13.26,149.966
3/23/2021 4:00,3/23/2021 4:30,0.324,15.72,11.796,50.709,44.22,12.25,13.752,148.771
3/23/2021 4:30,3/23/2021 5:00,0.16,15.72,17.196,52.403,41.76,10.2,13.26,150.699
3/23/2021 5:00,3/23/2021 5:30,0.324,14.736,30.468,54.907,41.76,20.45,15.228,177.873
3/23/2021 5:30,3/23/2021 6:00,0.16,14.736,60.456,55.323,41.76,24.55,15.72,212.705
3/23/2021 6:00,3/23/2021 6:30,25.064,67.332,38.82,60.077,44.22,24.55,14.736,274.799
3/23/2021 6:30,3/23/2021 7:00,85.032,50.616,39.804,59.739,51.6,40.95,12.288,340.029
3/23/2021 7:00,3/23/2021 7:30,84.704,44.724,37.836,59.906,93.36,47.1,15.72,383.35
3/23/2021 7:30,3/23/2021 8:00,84.868,43.74,36.864,66.766,68.76,51.2,15.72,367.918
3/23/2021 8:00,3/23/2021 8:30,84.868,35.88,31.452,63.542,58.98,47.1,15.72,337.542
3/23/2021 8:30,3/23/2021 9:00,84.868,35.388,34.896,69.413,68.76,45.05,16.212,354.587
3/23/2021 9:00,3/23/2021 9:30,84.704,34.404,39.312,69.137,63.84,38.9,18.18,348.477
3/23/2021 9:30,3/23/2021 10:00,84.868,29.976,37.836,21.616,71.22,30.7,14.736,290.952
3/23/2021 10:00,3/23/2021 10:30,84.704,26.04,35.88,72.266,71.22,24.55,15.72,330.38
3/23/2021 10:30,3/23/2021 11:00,84.868,22.116,31.452,70.477,73.68,26.6,17.196,326.389
3/23/2021 11:00,3/23/2021 11:30,84.868,22.116,31.452,68.849,73.68,28.65,16.212,325.827
3/23/2021 11:30,3/23/2021 12:00,84.704,22.116,27.516,71.666,76.14,24.55,14.736,321.428
3/23/2021 12:00,3/23/2021 12:30,84.868,19.656,28.5,69.674,76.14,20.45,14.736,314.024
3/23/2021 12:30,3/23/2021 13:00,84.868,18.18,25.548,19.648,73.68,16.35,11.304,249.578
3/23/2021 13:00,3/23/2021 13:30,84.868,16.704,24.084,18.992,73.68,14.3,13.752,246.38
3/23/2021 13:30,3/23/2021 14:00,84.704,15.72,22.116,18.992,73.68,18.4,12.768,246.38
3/23/2021 14:00,3/23/2021 14:30,84.868,14.736,22.116,64.635,63.84,20.45,12.768,283.413
3/23/2021 14:30,3/23/2021 15:00,84.704,14.736,22.116,61.181,71.22,20.45,12.288,286.695
3/23/2021 15:00,3/23/2021 15:30,84.868,15.72,22.116,61.246,66.3,16.35,13.26,279.86
3/23/2021 15:30,3/23/2021 16:00,37.516,16.212,22.116,57.451,66.3,16.35,12.768,228.713
3/23/2021 16:00,3/23/2021 16:30,0.16,12.288,16.212,57.893,58.98,22.5,12.768,180.801
3/23/2021 16:30,3/23/2021 17:00,0.324,12.288,15.228,55.313,61.44,26.6,12.768,183.961
3/23/2021 17:00,3/23/2021 17:30,0.16,12.768,14.244,50.275,49.14,20.45,13.752,160.789
3/23/2021 17:30,3/23/2021 18:00,8.192,11.796,10.812,48.503,46.68,20.45,12.768,159.201
3/23/2021 18:00,3/23/2021 18:30,84.868,9.828,10.32,50.567,31.92,12.25,13.752,213.505
3/23/2021 18:30,3/23/2021 19:00,84.704,11.304,9.336,51.474,29.46,14.3,14.736,215.314
3/23/2021 19:00,3/23/2021 19:30,84.868,11.304,9.336,48.431,34.38,10.2,12.768,211.287
3/23/2021 19:30,3/23/2021 20:00,84.704,8.844,9.336,45.644,29.46,12.25,13.26,203.498
3/23/2021 20:00,3/23/2021 20:30,84.704,13.752,11.796,50.255,41.76,10.2,12.768,225.235
3/23/2021 20:30,3/23/2021 21:00,84.704,15.228,11.796,52.177,41.76,12.25,14.244,232.159
3/23/2021 21:00,3/23/2021 21:30,32.276,14.736,11.304,51.105,41.76,12.25,11.796,175.227
3/23/2021 21:30,3/23/2021 22:00,0.16,14.736,11.796,51.639,46.68,12.25,13.26,150.521
3/23/2021 22:00,3/23/2021 22:30,0.324,14.736,11.796,51.203,41.76,12.25,14.244,146.313
3/23/2021 22:30,3/23/2021 23:00,0.324,14.244,12.288,51.875,39.3,12.25,13.26,143.541
3/23/2021 23:00,3/23/2021 23:30,0.16,14.736,12.288,49.417,41.76,10.2,13.26,141.821
3/23/2021 23:30,3/24/2021 0:00,0.324,14.244,11.796,50.802,41.76,12.25,16.704,147.88
3/24/2021 0:00,3/24/2021 0:30,0.16,14.736,12.768,33.6,39.3,12.25,13.752,126.566
3/24/2021 0:30,3/24/2021 1:00,0.324,14.244,11.304,33.715,44.22,12.25,12.768,128.825
3/24/2021 1:00,3/24/2021 1:30,0.324,14.244,10.812,40.286,41.76,12.25,14.244,133.92
3/24/2021 1:30,3/24/2021 2:00,0.16,14.736,12.288,39.404,41.76,12.25,13.26,133.858
3/24/2021 2:00,3/24/2021 2:30,0.324,14.244,11.304,20.96,39.3,10.2,13.26,109.592
3/24/2021 2:30,3/24/2021 3:00,0.16,15.228,13.26,40.644,41.76,12.25,14.736,138.038
3/24/2021 3:00,3/24/2021 3:30,0.324,15.228,12.288,40.449,41.76,12.25,12.288,134.587
3/24/2021 3:30,3/24/2021 4:00,0.324,15.228,11.304,39.498,41.76,12.25,14.244,134.608
